duration,p
0.000000,100.000000
0.000000,99.581590
0.000000,99.163180
0.000000,98.744770
0.000000,98.326360
0.000000,97.907950
0.000000,97.489540
0.000000,97.071130
0.000000,96.652720
0.000000,96.234310
3.000000,95.815900
5.000000,95.397490
5.000000,94.979079
5.000000,94.560669
7.000000,94.142259
9.000000,93.723849
9.000000,93.305439
9.000000,92.887029
9.000000,92.468619
10.000000,92.050209
10.000000,91.631799
12.000000,91.213389
12.000000,90.794979
12.000000,90.376569
17.000000,89.958159
18.000000,89.539749
20.000000,89.121339
21.000000,88.702929
21.000000,88.284519
24.000000,87.866109
26.000000,87.447699
28.000000,87.029289
29.000000,86.610879
32.000000,86.192469
32.000000,85.774059
32.000000,85.355649
34.000000,84.937238
34.000000,84.518828
34.000000,84.100418
35.000000,83.682008
35.000000,83.263598
38.000000,82.845188
40.000000,82.426778
44.000000,82.008368
45.000000,81.589958
46.000000,81.171548
46.000000,80.753138
46.000000,80.334728
46.000000,79.916318
49.000000,79.497908
49.000000,79.079498
49.000000,78.661088
49.000000,78.242678
50.000000,77.824268
50.000000,77.405858
51.000000,76.987448
51.000000,76.569038
53.000000,76.150628
53.000000,75.732218
54.000000,75.313808
55.000000,74.895397
55.000000,74.476987
56.000000,74.058577
56.000000,73.640167
56.000000,73.221757
58.000000,72.803347
59.000000,72.384937
60.000000,71.966527
60.000000,71.548117
60.000000,71.129707
61.000000,70.711297
61.000000,70.292887
62.000000,69.874477
63.000000,69.456067
64.000000,69.037657
64.000000,68.619247
64.000000,68.200837
64.000000,67.782427
64.000000,67.364017
64.000000,66.945607
65.000000,66.527197
65.000000,66.108787
66.000000,65.690377
66.000000,65.271967
68.000000,64.853556
68.000000,64.435146
69.000000,64.016736
70.000000,63.598326
71.000000,63.179916
72.000000,62.761506
73.000000,62.343096
74.000000,61.924686
75.000000,61.506276
75.000000,61.087866
75.000000,60.669456
76.000000,60.251046
78.000000,59.832636
79.000000,59.414226
79.000000,58.995816
80.000000,58.577406
83.000000,58.158996
83.000000,57.740586
83.000000,57.322176
84.000000,56.903766
84.000000,56.485356
84.000000,56.066946
84.000000,55.648536
85.000000,55.230126
86.000000,54.811715
88.000000,54.393305
88.000000,53.974895
88.000000,53.556485
88.000000,53.138075
88.000000,52.719665
88.000000,52.301255
88.000000,51.882845
88.000000,51.464435
89.000000,51.046025
89.000000,50.627615
90.000000,50.209205
91.000000,49.790795
91.000000,49.372385
91.000000,48.953975
91.000000,48.535565
92.000000,48.117155
94.000000,47.698745
95.000000,47.280335
96.000000,46.861925
96.000000,46.443515
96.000000,46.025105
99.000000,45.606695
99.000000,45.188285
99.000000,44.769874
100.000000,44.351464
100.000000,43.933054
102.000000,43.514644
102.000000,43.096234
103.000000,42.677824
104.000000,42.259414
104.000000,41.841004
105.000000,41.422594
106.000000,41.004184
108.000000,40.585774
108.000000,40.167364
111.000000,39.748954
111.000000,39.330544
112.000000,38.912134
112.000000,38.493724
113.000000,38.075314
113.000000,37.656904
114.000000,37.238494
115.000000,36.820084
116.000000,36.401674
116.000000,35.983264
116.000000,35.564854
117.000000,35.146444
120.000000,34.728033
120.000000,34.309623
121.000000,33.891213
121.000000,33.472803
123.000000,33.054393
124.000000,32.635983
124.000000,32.217573
124.000000,31.799163
125.000000,31.380753
126.000000,30.962343
126.000000,30.543933
127.000000,30.125523
128.000000,29.707113
128.000000,29.288703
128.000000,28.870293
128.000000,28.451883
128.000000,28.033473
129.000000,27.615063
130.000000,27.196653
131.000000,26.778243
132.000000,26.359833
135.000000,25.941423
136.000000,25.523013
137.000000,25.104603
137.000000,24.686192
138.000000,24.267782
139.000000,23.849372
139.000000,23.430962
140.000000,23.012552
140.000000,22.594142
140.000000,22.175732
141.000000,21.757322
141.000000,21.338912
141.000000,20.920502
142.000000,20.502092
142.000000,20.083682
142.000000,19.665272
143.000000,19.246862
144.000000,18.828452
144.000000,18.410042
144.000000,17.991632
145.000000,17.573222
146.000000,17.154812
146.000000,16.736402
146.000000,16.317992
147.000000,15.899582
147.000000,15.481172
147.000000,15.062762
148.000000,14.644351
149.000000,14.225941
149.000000,13.807531
150.000000,13.389121
150.000000,12.970711
151.000000,12.552301
151.000000,12.133891
152.000000,11.715481
152.000000,11.297071
152.000000,10.878661
153.000000,10.460251
153.000000,10.041841
155.000000,9.623431
155.000000,9.205021
155.000000,8.786611
156.000000,8.368201
156.000000,7.949791
156.000000,7.531381
158.000000,7.112971
158.000000,6.694561
158.000000,6.276151
158.000000,5.857741
158.000000,5.439331
158.000000,5.020921
159.000000,4.602510
159.000000,4.184100
159.000000,3.765690
160.000000,3.347280
161.000000,2.928870
162.000000,2.510460
162.000000,2.092050
162.000000,1.673640
163.000000,1.255230
164.000000,0.836820
165.000000,0.418410
